#date:2020-04-25
symbol	name	alias_symbol	alias_name	entrez_id	ensembl_gene_id	ucsc_id	refseq_accession	ccds_id	uniprot_ids
A1BG	alpha-1-B glycoprotein			1	ENSG00000121410	uc002qsd.5	NM_130786	CCDS12976	P04217
A1CF	APOBEC1 complementation factor	"ACF|ASP|ACF64|ACF65|APOBEC1CF"		29974	ENSG00000148584	uc057tgv.1	NM_014576	"CCDS7241|CCDS7242|CCDS7243|CCDS73133"	Q9NQ94
A2M	alpha-2-macroglobulin	"FWP007|S863-7|CPAMD5"		2	ENSG00000175899	uc001qvk.2	NM_000014	CCDS44827	P01023
A2ML1	alpha-2-macroglobulin like 1	"FLJ25179|p170"		144568	ENSG00000166535	uc001quz.6	NM_144670	"CCDS8596|CCDS73439"	A8K2U0
A3GALT2	alpha 1,3-galactosyltransferase 2	"IGBS3S|IGB3S"	"iGb3 synthase|isoglobotriaosylceramide synthase"	127550	ENSG00000184389	uc031plq.1	NM_001080438	CCDS60080	U3KPV4
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	"A14GALT|Gb3S|P(k)"	"Gb3 synthase|CD77 synthase|globotriaosylceramide synthase|lactosylceramide 4-alpha-galactosyltransferase"	53947	ENSG00000128274	uc062ewl.1	NM_017436	CCDS14041	Q9NPC4
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	alpha4GnT		51146	ENSG00000118017	uc003ers.2	NM_016161	CCDS3097	Q9UNA3
AAAS	aladin WD repeat nucleoporin		"aladin|Allgrove, triple-A|adracalin"	8086	ENSG00000094914	uc001scr.5	NM_001173466	"CCDS8856|CCDS53797"	Q9NRG9
AACS	acetoacetyl-CoA synthetase	"FLJ12389|SUR-5|ACSF1"	acyl-CoA synthetase family member 1	65985	ENSG00000081760	uc001uhc.4	NM_023928	CCDS9263	Q86V21
AADAC	arylacetamide deacetylase	"DAC|CES5A1"		13	ENSG00000114771	uc003eze.4	NM_001086	CCDS33877	P22760
AADACL2	arylacetamide deacetylase like 2	MGC72001		344752	ENSG00000197953	uc003ezc.4	NM_207365	CCDS3161	Q6P093
AADACL3	arylacetamide deacetylase like 3	OTTHUMG00000001887		126767	ENSG00000188984	uc057ckc.1	NM_001103170	CCDS41253	Q5VUY0
AADACL4	arylacetamide deacetylase like 4	OTTHUMG00000001889		343066	ENSG00000204518	uc001auf.3	NM_001013630	CCDS30590	Q5VUY2
AADAT	aminoadipate aminotransferase	"KATII|KAT2|KYAT2"	"kynurenine aminotransferase II|L kynurenine/alpha aminoadipate aminotransferase"	51166	ENSG00000109576	uc032udw.1	NM_016228	"CCDS3814|CCDS75209"	Q8N5Z0
AAGAB	alpha and gamma adaptin binding protein	"FLJ11506|p34"		79719	ENSG00000103591	uc002aqk.6	NM_024666	"CCDS42050|CCDS61679"	Q6PD74
AAK1	AP2 associated kinase 1	"KIAA1048|DKFZp686K16132"		22848	ENSG00000115977	uc002sfp.3	NM_014911	CCDS1893	Q2M2I8
AAMDC	adipogenesis associated Mth938 domain containing	"PTD015|FLJ21035|CK067"		28971	ENSG00000087884	uc058fuq.1	NM_024684	"CCDS8254|CCDS81604|CCDS81605|CCDS86232"	Q9H7C9
AAMP	angio associated migratory cell protein			14	ENSG00000127837	uc002vhk.4	NM_001087	"CCDS33378|CCDS77530"	Q13685
AANAT	aralkylamine N-acetyltransferase	SNAT	serotonin N-acetyltransferase	15	ENSG00000129673	uc002jro.4	NM_001088	"CCDS11745|CCDS54169"	Q16613
AAR2	AAR2 splicing factor	bA234K24.2		25980	ENSG00000131043	uc002xfc.4	NM_015511	CCDS13273	Q9Y312
AARD	alanine and arginine rich domain containing protein	LOC441376	Alanine and arginine-rich domain-containing protein	441376	ENSG00000205002	uc003yof.4	NM_001025357	CCDS34935	Q4LEZ3
AARS1	alanyl-tRNA synthetase 1	"CMT2N|AlaRS"	alanine tRNA ligase 1, cytoplasmic	16	ENSG00000090861	uc002eyn.2	NM_001605	CCDS32474	P49588
AARS2	alanyl-tRNA synthetase 2, mitochondrial	"KIAA1270|bA444E17.1"	alanine tRNA ligase 2, mitochondrial	57505	ENSG00000124608	uc010jza.2	NM_020745	CCDS34464	Q5JTZ9
AARSD1	alanyl-tRNA synthetase domain containing 1	MGC2744		80755	ENSG00000266967	uc031raq.2	NM_001261434	"CCDS11447|CCDS45691|CCDS58552"	Q9BTE6
